subcategory_name,category_id
Compact Products,9
Eco Tools,10
Smart Equipment,11
Professional Equipment,12
Compact Systems,13
Rapid Tools,14
Flexible Accessories,15
Professional Modules,16
Eco Platforms,17
Ultra Accessories,18
Secure Systems,19
Premium Equipment,20
Ultra Systems,21
Eco Devices,22
Advanced Accessories,23
Modern Platforms,24
Secure Modules,25
Eco Solutions,26
Rapid Components,27
Compact Supplies,28
Secure Products,29
Modern Tools,30
Advanced Modules,31
Essential Solutions,32
Flexible Systems,33
Rapid Platforms,34
Ultra Solutions,35
Digital Accessories,36
Digital Products,37
Essential Systems,38
Classic Tools,39
Professional Components,40
Essential Equipment,41
Compact Platforms,42
Flexible Products,43
Modern Solutions,44
Compact Modules,45
Advanced Solutions,46
Ultra Tools,47
Rapid Services,48
Elite Services,49
Essential Devices,50
Flexible Devices,1
Premium Modules,2
Flexible Equipment,3
Eco Equipment,4
Secure Tools,5
Modern Supplies,6
Modern Equipment,7
Digital Services,8
Eco Components,9
Digital Systems,10
Digital Equipment,11
Smart Products,12
Advanced Equipment,13
Professional Systems,14
Flexible Solutions,15
Classic Accessories,16
Smart Modules,17
Modern Components,18
Compact Tools,19
Smart Services,20
Modern Products,21
Digital Solutions,22
Eco Supplies,23
Compact Devices,24
Classic Solutions,25
Classic Systems,26
Elite Components,27
Flexible Supplies,28
Professional Services,29
Rapid Systems,30
Smart Systems,31
Eco Accessories,32
Digital Devices,33
Secure Accessories,34
Secure Services,35
Classic Equipment,36
Ultra Equipment,37
Professional Products,38
Flexible Services,39
Digital Supplies,40
Advanced Services,41
Professional Solutions,42
Premium Devices,43
Classic Devices,44
Essential Accessories,45
Eco Products,46
Rapid Products,47
Smart Components,48
Elite Supplies,49
Premium Platforms,50
Elite Systems,1
Modern Accessories,2
Professional Devices,3
Ultra Services,4
Essential Platforms,5
Flexible Platforms,6
Modern Services,7
Ultra Platforms,8
Smart Accessories,9
Classic Platforms,10
Classic Modules,11
Elite Tools,12
Secure Components,13
Rapid Equipment,14
Digital Tools,15
Secure Supplies,16
Advanced Devices,17
Digital Modules,18
Smart Solutions,19
Rapid Solutions,20
Premium Products,21
Digital Components,22
Compact Solutions,23
Advanced Tools,24
Elite Equipment,25
Ultra Supplies,26
Compact Services,27
Advanced Products,28
Advanced Components,29
Flexible Components,30
Smart Supplies,31
Elite Accessories,32
Elite Modules,33
Smart Devices,34
Compact Components,35
Premium Accessories,36
Premium Components,37
Eco Modules,38
Essential Services,39
Essential Tools,40
Smart Tools,41
Rapid Modules,42
Classic Services,43
Secure Devices,44
Rapid Devices,45
Advanced Systems,46
Rapid Accessories,47
Ultra Components,48
Premium Solutions,49
Professional Supplies,50
